Id,LotFrontage,LotArea,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,PoolArea,Fence,SaleType,SaleCondition,SalePrice
151,120,10356,Reg,1Story,5,6,1975,1975,0,969,Y,969,0,969,0,1,1,3,1,TA,Typ,0,Attchd,2,TA,0,0,0,MnPrv,WD,Normal,122000
152,107,13891,Reg,1Story,8,5,2007,2008,436,1710,Y,1710,0,1710,1,2,0,2,1,Gd,Typ,1,Attchd,3,TA,0,102,0,NA,New,Partial,372402
153,NA,14803,IR1,2Story,6,5,1971,1971,252,825,Y,1097,896,1993,0,2,1,4,1,TA,Typ,1,Attchd,2,TA,0,66,0,GdWo,WD,Normal,190000
154,NA,13500,Reg,1Story,6,7,1960,1975,0,1602,Y,1252,0,1252,1,1,0,1,1,TA,Typ,1,Attchd,2,TA,409,0,0,NA,WD,Normal,235000
155,84,11340,Reg,1Story,6,5,1923,1950,0,1200,Y,1200,0,1200,0,1,0,4,1,TA,Typ,0,Detchd,1,Fa,0,0,0,NA,WD,Family,125000
156,60,9600,Reg,1.5Fin,6,5,1924,1950,0,572,N,572,524,1096,0,1,0,2,1,TA,Typ,0,NA,0,NA,0,8,0,NA,WD,Normal,79000
157,60,7200,Reg,1Story,5,7,1950,1950,0,0,Y,1040,0,1040,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,109500
158,92,12003,Reg,2Story,8,5,2009,2010,84,774,Y,774,1194,1968,0,2,1,4,1,Ex,Typ,1,BuiltIn,3,TA,0,75,0,NA,New,Partial,269500
159,100,12552,Reg,2Story,7,5,2004,2005,0,991,Y,991,956,1947,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,136,0,GdWo,WD,Normal,254900
160,134,19378,IR1,2Story,7,5,2005,2006,456,1392,Y,1392,1070,2462,1,2,1,4,1,Gd,Typ,1,Attchd,2,TA,239,132,0,NA,New,Partial,320000
161,NA,11120,IR1,1Story,6,6,1984,1984,0,1232,Y,1232,0,1232,0,2,0,3,1,TA,Typ,0,Attchd,2,TA,0,0,0,NA,WD,Normal,162500
162,110,13688,IR1,2Story,9,5,2003,2004,664,1572,Y,1572,1096,2668,1,2,1,3,1,Ex,Typ,2,BuiltIn,3,TA,400,0,0,NA,WD,Normal,412500
163,95,12182,Reg,1Story,7,5,2005,2005,226,1541,Y,1541,0,1541,0,2,0,3,1,Gd,Typ,1,Attchd,2,TA,0,70,0,NA,New,Partial,220000
164,55,5500,Reg,1.5Unf,4,6,1956,1956,0,882,Y,882,0,882,0,1,0,1,1,TA,Typ,0,NA,0,NA,0,0,0,MnPrv,WD,Normal,103200
165,40,5400,Reg,1Story,6,7,1926,2004,0,1149,Y,1149,467,1616,0,2,0,3,1,Gd,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,152000
166,62,10106,Reg,1.5Fin,5,7,1940,1999,0,644,Y,808,547,1355,1,2,0,4,2,TA,Typ,0,NA,0,NA,140,0,0,NA,WD,Normal,127500
167,NA,10708,IR1,1Story,5,5,1955,1993,0,1617,Y,1867,0,1867,1,1,0,2,1,TA,Typ,3,Attchd,1,TA,476,0,0,GdWo,COD,Normal,190000
168,86,10562,Reg,2Story,8,5,2007,2007,300,1582,Y,1610,551,2161,1,1,1,3,1,Ex,Typ,1,Attchd,3,TA,178,120,0,NA,New,Partial,325624
169,62,8244,IR1,2Story,7,5,2004,2004,0,840,Y,840,880,1720,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,100,48,0,NA,WD,Normal,183500
170,NA,16669,IR1,1Story,8,6,1981,1981,653,1686,Y,1707,0,1707,0,2,1,2,1,TA,Typ,1,Attchd,2,TA,574,64,0,NA,WD,Normal,228000
171,NA,12358,IR1,1.5Fin,5,6,1941,1950,0,720,Y,854,0,1382,0,1,1,2,1,TA,Typ,0,Detchd,2,TA,237,0,0,NA,WD,Normal,128500
172,141,31770,IR1,1Story,6,5,1960,1960,112,1080,Y,1656,0,1656,1,1,0,3,1,TA,Typ,2,Attchd,2,TA,210,62,0,NA,WD,Normal,215000
173,44,5306,IR1,2Story,7,7,1987,1987,0,1064,Y,1064,703,1767,1,2,0,2,1,Gd,Typ,1,Attchd,2,Gd,441,35,0,NA,WD,Normal,239000
174,80,10197,IR1,1Story,6,5,1961,1961,491,1362,Y,1362,0,1362,1,1,1,3,1,TA,Typ,1,Attchd,2,TA,0,20,0,NA,COD,Normal,163000
175,47,12416,IR1,1Story,6,5,1986,1986,132,1606,Y,1651,0,1651,1,2,0,3,1,TA,Min2,1,Attchd,2,TA,192,0,0,NA,WD,Normal,184000
176,84,12615,Reg,1Story,6,7,1950,2001,0,1202,Y,2158,0,2158,1,2,0,4,1,Gd,Typ,1,Attchd,2,TA,0,29,0,MnPrv,WD,Normal,243000
177,97,10029,IR1,2Story,6,5,1988,1989,268,1151,Y,1164,896,2060,0,2,1,4,1,TA,Typ,1,Attchd,2,TA,0,228,0,NA,WD,Normal,211000
178,NA,13650,Reg,1.5Fin,5,5,1958,1958,0,1052,Y,1252,668,1920,1,2,0,4,1,Gd,Typ,1,Attchd,2,TA,0,0,0,NA,WD,Normal,172500
179,63,17423,IR1,1Story,9,5,2008,2009,748,2216,Y,2234,0,2234,1,2,0,1,1,Ex,Typ,1,Attchd,3,TA,0,60,0,NA,New,Partial,501837
180,60,8520,Reg,1Story,5,6,1923,2006,0,968,Y,968,0,968,0,1,0,2,1,TA,Typ,0,Detchd,2,Fa,0,0,0,NA,WD,Normal,100000
181,NA,2117,Reg,2Story,6,5,2000,2000,456,756,Y,769,756,1525,0,2,1,3,1,Gd,Typ,1,Detchd,2,TA,0,0,0,NA,WD,Normal,177000
182,54,7588,Reg,2Story,7,6,1920,1950,0,793,Y,901,901,1802,0,1,1,4,1,TA,Typ,1,Detchd,1,Fa,0,0,0,NA,WD,Normal,200100
183,60,9060,Reg,1Story,5,6,1957,2006,98,0,Y,1340,0,1340,0,1,0,3,1,TA,Typ,1,Attchd,1,TA,116,0,0,MnPrv,WD,Normal,120000
184,63,11426,Reg,1.5Fin,7,5,2003,2003,0,1362,Y,1362,720,2082,0,2,1,3,1,Gd,Mod,0,Detchd,2,TA,280,238,0,NA,WD,Normal,200000
185,92,7438,IR1,1.5Fin,5,8,1908,1991,0,504,Y,936,316,1252,0,1,0,3,1,TA,Typ,0,Attchd,2,TA,104,0,0,MnPrv,WD,Normal,127000
186,90,22950,IR2,2.5Fin,10,9,1892,1993,0,1107,Y,1518,1518,3608,0,2,1,4,1,Ex,Typ,2,Detchd,3,Ex,0,260,0,GdPrv,WD,Normal,475000
187,NA,9947,IR1,SLvl,7,5,1990,1991,0,1188,Y,1217,0,1217,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,168,27,0,GdPrv,WD,Normal,173000
188,60,10410,Reg,1.5Fin,5,7,1916,1987,0,660,Y,808,704,1656,0,2,1,3,1,TA,Min2,0,Detchd,1,Fa,0,0,0,MnPrv,WD,Normal,135000
189,64,7018,Reg,SFoyer,5,5,1979,1979,275,1086,Y,1224,0,1224,2,0,2,2,2,TA,Typ,2,Detchd,2,TA,120,0,0,NA,WD,Alloca,153337
190,41,4923,Reg,1Story,8,5,2001,2002,0,1593,Y,1593,0,1593,1,1,1,0,1,Ex,Typ,1,Attchd,2,TA,0,120,0,NA,WD,Normal,286000
191,70,10570,Reg,2Story,8,8,1932,1994,0,853,Y,1549,1178,2727,0,2,1,3,1,Gd,Maj1,2,Detchd,2,TA,0,74,0,NA,WD,Normal,315000
192,NA,7472,IR1,2Story,7,9,1972,2004,138,725,Y,725,754,1479,1,1,1,4,1,Gd,Typ,0,Attchd,2,TA,0,32,0,NA,WD,Normal,184000
193,68,9017,IR1,1Story,7,5,1999,1999,0,1431,Y,1431,0,1431,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,0,35,0,NA,WD,Normal,192000
194,24,2522,Reg,2Story,7,5,2004,2004,50,970,Y,970,739,1709,0,2,0,3,1,Gd,Maj1,0,Detchd,2,TA,0,40,0,NA,WD,Normal,130000
195,60,7180,IR1,1Story,5,7,1972,1972,0,864,Y,864,0,864,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,127000
196,24,2280,Reg,2Story,6,6,1976,1976,0,855,Y,855,601,1456,0,2,1,3,1,TA,Typ,1,Attchd,2,TA,87,0,0,NA,WD,Normal,148500
197,79,9416,Reg,1Story,7,5,2007,2007,205,1726,Y,1726,0,1726,1,2,0,3,1,Ex,Typ,1,Attchd,3,TA,171,138,0,NA,New,Partial,311872
198,174,25419,Reg,2Story,8,4,1918,1990,0,1360,Y,1360,1360,3112,1,2,0,4,1,Gd,Typ,1,Detchd,2,TA,0,16,512,GdPrv,WD,Abnorml,235000
199,92,5520,Reg,2.5Fin,6,6,1912,1950,0,755,Y,929,929,2229,0,1,0,5,1,TA,Typ,0,NA,0,NA,0,198,0,MnPrv,WD,Abnorml,104000
200,76,9591,Reg,1Story,8,5,2004,2005,262,1713,Y,1713,0,1713,1,2,0,3,1,Ex,Typ,1,Attchd,3,TA,0,26,0,NA,WD,Normal,274900
201,80,8546,Reg,1Story,4,5,2003,2004,0,1121,Y,1121,0,1121,0,2,0,2,1,TA,Typ,0,Attchd,2,TA,132,64,0,NA,WD,Normal,140000
202,75,10125,Reg,1Story,6,6,1977,1977,0,1196,Y,1279,0,1279,0,2,0,3,1,TA,Typ,2,Detchd,2,TA,238,83,0,MnPrv,WD,Normal,171500
203,50,7000,Reg,1.5Fin,6,6,1924,1950,0,617,Y,865,445,1310,0,2,0,2,1,TA,Min1,0,Attchd,1,TA,0,0,0,NA,COD,Normal,112000
204,NA,4438,Reg,1Story,6,5,2004,2004,205,848,Y,848,0,848,1,1,0,1,1,Gd,Typ,1,Attchd,2,TA,149,0,0,NA,WD,Normal,149000
205,50,3500,Reg,1.5Fin,5,7,1947,1950,0,720,Y,720,564,1284,0,1,1,2,1,TA,Typ,0,Detchd,1,TA,0,35,0,MnWw,WD,Normal,110000
206,99,11851,Reg,1Story,7,5,1990,1990,0,1424,Y,1442,0,1442,0,2,0,3,1,TA,Typ,0,Attchd,2,TA,0,34,0,NA,WD,Normal,180500
207,40,13673,IR1,1Story,5,5,1962,1962,0,1140,Y,1696,0,1696,0,1,1,3,1,TA,Min2,1,Attchd,1,TA,0,30,0,NA,WD,Normal,143900
208,NA,12493,IR1,1Story,4,5,1960,1960,0,1100,Y,1100,0,1100,1,1,0,3,1,TA,Typ,1,Attchd,1,TA,355,0,0,GdWo,WD,Normal,141000
209,NA,14364,IR1,2Story,7,5,1988,1989,128,1157,Y,1180,882,2062,1,2,1,3,1,TA,Typ,1,Attchd,2,TA,60,55,0,NA,WD,Normal,277000
210,75,8250,Reg,1Story,6,7,1964,1964,260,1092,Y,1092,0,1092,1,1,0,3,1,TA,Typ,0,Attchd,2,TA,0,0,0,MnPrv,WD,Normal,145000
211,67,5604,Reg,1Story,5,6,1925,1950,0,864,N,864,0,864,1,1,0,2,1,TA,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,98000
212,83,10420,Reg,1Story,6,5,2009,2009,0,1212,Y,1212,0,1212,0,2,0,3,1,Gd,Typ,0,Attchd,2,TA,100,22,0,NA,WD,Normal,186000
213,72,8640,Reg,2Story,7,5,2009,2009,0,900,Y,932,920,1852,1,2,1,3,1,Gd,Typ,1,Attchd,2,TA,168,108,0,NA,New,Partial,252678
214,43,13568,IR2,1Story,5,5,1995,1995,0,990,Y,990,0,990,0,1,0,3,1,TA,Typ,0,Attchd,2,TA,224,0,0,NA,WD,Normal,156000
215,NA,10900,IR1,2Story,6,7,1977,1977,153,689,Y,689,703,1392,0,1,1,3,1,TA,Typ,0,Attchd,1,TA,0,36,0,MnPrv,WD,Normal,161750
216,72,10011,IR1,1Story,5,6,1957,1996,64,1070,Y,1236,0,1236,0,1,0,2,1,Gd,Min1,1,Attchd,1,TA,0,0,0,MnPrv,WD,Normal,134450
217,65,8450,Reg,1Story,7,5,2004,2004,266,1436,Y,1436,0,1436,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,139,98,0,NA,WD,Normal,210000
218,57,9906,Reg,2Story,4,4,1925,1950,0,686,N,810,518,1328,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,172,0,NA,WD,Family,107000
219,NA,15660,IR1,1.5Fin,7,9,1939,2006,312,798,Y,1137,817,1954,0,1,1,3,1,Gd,Typ,2,Attchd,2,TA,0,119,0,NA,WD,Normal,311500
220,43,3010,Reg,1Story,7,5,2005,2006,16,1248,Y,1248,0,1248,0,2,0,2,1,Gd,Typ,0,Attchd,2,TA,108,0,0,NA,New,Partial,167240
221,73,8990,IR1,1Story,7,5,2006,2006,0,1498,Y,1498,0,1498,0,2,0,2,1,Gd,Typ,0,Attchd,2,TA,351,33,0,NA,New,Partial,204900
222,NA,8068,IR1,2Story,6,5,2002,2002,0,1010,Y,1010,1257,2267,0,2,1,4,1,Gd,Typ,1,BuiltIn,2,TA,120,46,0,NA,ConLI,Normal,200000
223,85,11475,Reg,2Story,6,6,1975,1975,0,713,Y,811,741,1552,1,2,1,3,1,TA,Typ,1,Attchd,2,TA,209,208,0,MnPrv,WD,Normal,179900
224,70,10500,Reg,1Story,4,6,1971,1971,0,864,Y,864,0,864,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,216,0,0,NA,WD,Abnorml,97000
225,103,13472,Reg,1Story,10,5,2003,2003,922,2392,Y,2392,0,2392,0,2,0,3,1,Ex,Typ,1,Attchd,3,TA,248,105,0,NA,WD,Normal,386250
226,21,1680,Reg,2Story,5,5,1971,1971,142,630,Y,630,672,1302,0,2,1,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,COD,Abnorml,112000
227,82,9950,IR1,2Story,7,5,1995,1995,290,1203,Y,1214,1306,2520,0,2,1,4,1,Gd,Typ,1,Attchd,3,TA,224,114,0,NA,WD,Abnorml,290000
228,21,1869,Reg,2Story,6,6,1970,1970,127,483,Y,483,504,987,0,1,1,2,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,106000
229,70,8521,Reg,1Story,5,5,1967,1967,0,912,Y,912,0,912,0,1,0,3,1,TA,Typ,1,Detchd,1,TA,0,0,0,MnPrv,WD,Normal,125000
230,43,3182,Reg,1Story,7,5,2005,2006,16,1373,Y,1555,0,1555,0,2,0,2,1,Gd,Typ,1,Attchd,2,TA,143,20,0,NA,WD,Normal,192500
231,73,8760,Reg,1Story,6,6,1959,1959,220,1194,Y,1194,0,1194,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,0,0,0,NA,WD,Normal,148000
232,174,15138,IR1,2Story,8,5,1995,1996,506,1462,Y,1490,1304,2794,1,2,1,4,1,Ex,Typ,1,Attchd,3,TA,0,146,0,NA,WD,Normal,403000
233,21,1680,Reg,2Story,6,5,1972,1972,297,483,Y,483,504,987,0,1,1,2,1,TA,Typ,1,Attchd,1,TA,0,0,0,NA,WD,Normal,94500
234,75,10650,Reg,1Story,5,6,1976,1976,0,894,Y,894,0,894,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,365,0,0,MnPrv,WD,Normal,128200
235,NA,7851,Reg,2Story,6,5,2002,2002,NA,860,Y,860,1100,1960,1,2,1,4,1,Gd,Typ,2,BuiltIn,2,TA,288,48,0,NA,WD,Normal,216500
236,21,1680,Reg,2Story,6,3,1971,1971,604,483,Y,483,504,987,0,1,1,2,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,89500
237,65,8773,Reg,1Story,7,5,2004,2004,98,1414,Y,1414,0,1414,0,2,0,3,1,Gd,Typ,0,Attchd,2,TA,132,105,0,NA,WD,Normal,185500
238,NA,9453,IR1,2Story,7,7,1993,2003,0,996,Y,1014,730,1744,0,2,1,3,1,Gd,Typ,0,Attchd,2,TA,370,70,0,NA,WD,Normal,194500
239,93,12030,Reg,1Story,8,5,2007,2007,254,1694,Y,1694,0,1694,0,2,0,3,1,Gd,Typ,0,Attchd,3,TA,168,228,0,NA,New,Partial,318000
240,52,8741,Reg,1.5Fin,6,4,1945,1950,0,735,Y,798,689,1487,0,1,1,3,1,TA,Typ,1,Detchd,1,TA,0,140,0,MnPrv,WD,Normal,113000
241,75,9000,Reg,1Story,8,5,2008,2008,36,1566,Y,1566,0,1566,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,144,168,0,NA,WD,Normal,262500
242,40,3880,Reg,1Story,5,9,1945,1997,0,686,Y,866,0,866,0,1,0,2,1,Gd,Typ,0,NA,0,NA,58,42,0,NA,WD,Normal,110500
243,63,5000,Reg,1.5Fin,5,4,1900,1950,0,540,N,889,551,1440,0,1,0,3,1,TA,Typ,0,Attchd,1,Fa,0,0,0,NA,WD,Normal,79000
244,75,10762,Reg,2Story,6,6,1980,1980,0,626,Y,626,591,1217,0,1,1,3,1,TA,Typ,1,Attchd,1,TA,0,28,0,NA,WD,Normal,120000
245,NA,8880,IR1,2Story,7,5,1994,2002,0,948,Y,1222,888,2110,1,2,1,3,1,Gd,Typ,2,Attchd,2,TA,0,130,0,NA,WD,Normal,205000
246,80,10400,Reg,1Story,7,5,1988,1988,102,1845,Y,1872,0,1872,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,197,39,0,NA,WD,Normal,241500
247,69,9142,Reg,2Story,6,8,1910,1950,0,1020,N,908,1020,1928,0,2,0,4,2,Fa,Typ,0,Detchd,1,Po,0,60,0,NA,WD,Normal,137000
248,75,11310,Reg,1Story,6,5,1954,1954,0,1367,Y,1375,0,1375,0,1,0,2,1,TA,Typ,1,Attchd,2,TA,0,30,0,NA,WD,Normal,140000
249,72,11317,Reg,2Story,7,5,2003,2003,101,840,Y,840,828,1668,0,2,1,3,1,Gd,Typ,0,Attchd,2,TA,144,68,0,NA,WD,Normal,180000
250,NA,159000,IR2,1.5Fin,6,7,1958,2006,472,1444,Y,1444,700,2144,0,2,0,4,1,Gd,Typ,2,Attchd,2,TA,0,98,0,NA,WD,Normal,277000
251,55,5350,IR1,1Story,3,2,1940,1966,0,728,Y,1306,0,1306,0,1,0,3,1,Fa,Mod,0,NA,0,NA,263,0,0,GdWo,WD,Normal,76500
252,44,4750,IR1,1Story,8,5,2006,2007,481,1573,Y,1625,0,1625,1,2,0,2,1,Gd,Typ,1,Attchd,2,TA,123,0,0,NA,WD,Family,235000
253,65,8366,IR1,2Story,6,5,2004,2004,0,798,Y,798,842,1640,0,2,1,3,1,Gd,Typ,0,Attchd,2,TA,138,45,0,NA,WD,Normal,173000
254,85,9350,Reg,SLvl,6,7,1964,1991,108,1302,Y,1302,0,1302,0,2,0,3,1,Gd,Min1,0,Attchd,1,TA,333,0,0,MnPrv,CWD,Normal,158000
255,70,8400,Reg,1Story,5,6,1957,1957,0,1314,Y,1314,0,1314,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,250,0,0,NA,WD,Normal,145000
256,66,8738,IR1,2Story,7,5,1999,1999,302,975,Y,1005,1286,2291,0,2,1,4,1,Gd,Typ,1,BuiltIn,2,TA,192,0,0,NA,WD,Normal,230000
257,64,8791,IR1,2Story,6,5,2003,2003,0,864,Y,864,864,1728,0,2,1,3,1,Gd,Typ,0,Attchd,2,TA,216,56,0,NA,WD,Normal,207500
258,68,8814,Reg,1Story,7,5,2006,2006,180,1604,Y,1604,0,1604,1,2,1,3,1,Gd,Typ,1,Attchd,2,TA,123,110,0,NA,WD,Abnorml,220000
259,80,12435,Reg,2Story,7,5,2001,2001,172,963,Y,963,829,1792,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,96,0,NA,WD,Normal,231500
260,70,12702,Reg,1Story,5,5,1956,1956,0,0,Y,882,0,882,0,1,0,2,1,TA,Typ,0,Detchd,1,TA,0,45,0,NA,WD,Normal,97000
261,120,19296,Reg,SLvl,6,5,1962,1962,399,1362,Y,1382,0,1382,1,1,0,3,1,TA,Typ,1,Attchd,2,TA,0,0,0,GdWo,WD,Normal,176000
262,69,9588,IR1,2Story,8,5,2007,2007,270,1482,Y,1482,1092,2574,0,2,1,3,1,Ex,Typ,1,BuiltIn,3,TA,0,148,0,NA,New,Partial,276000
263,88,8471,IR1,SLvl,6,7,1977,1995,46,506,Y,1212,0,1212,1,1,0,3,1,TA,Typ,1,Attchd,2,TA,292,12,0,GdWo,WD,Normal,151000
264,50,5500,Reg,1.5Fin,5,7,1929,2001,0,926,Y,926,0,1316,1,1,0,3,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,130000
265,30,5232,IR3,1Story,5,5,1925,2004,0,680,N,764,0,764,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,73000
266,78,12090,IR1,1Story,6,6,1981,1981,210,1422,Y,1422,0,1422,0,2,0,3,1,Gd,Typ,1,Attchd,2,TA,276,0,0,GdPrv,WD,Normal,175500
267,70,11207,IR1,2Story,6,5,1997,1997,0,802,Y,802,709,1511,1,2,1,3,1,TA,Typ,1,Attchd,2,TA,95,75,0,NA,WD,Normal,185000
268,60,8400,Reg,2.5Fin,5,8,1939,1997,0,720,Y,1052,720,2192,0,2,1,4,1,Gd,Typ,1,Detchd,1,TA,262,24,0,NA,WD,Normal,179500
269,71,6900,Reg,1Story,5,6,1940,1955,0,740,Y,778,0,778,0,1,0,2,1,TA,Typ,1,Detchd,1,Ex,0,25,0,NA,WD,Normal,120500
270,NA,7917,IR1,1Story,6,7,1976,1976,174,1143,Y,1113,0,1113,1,1,1,3,1,TA,Typ,1,Attchd,1,TA,370,30,0,GdPrv,WD,Normal,148000
271,84,10728,Reg,2Story,8,5,2006,2006,0,1095,Y,1095,844,1939,0,2,1,3,1,Gd,Typ,1,Attchd,3,TA,192,51,0,NA,New,Partial,266000
272,73,39104,IR1,1Story,7,7,1954,2005,0,1385,Y,1363,0,1363,1,1,0,2,1,TA,Mod,2,Attchd,2,TA,81,0,0,NA,WD,Normal,241500
273,92,11764,IR1,2Story,8,7,1999,2007,348,1152,Y,1164,1106,2270,0,2,1,4,1,Gd,Typ,1,Attchd,3,TA,132,57,0,NA,WD,Normal,290000
274,80,9600,Reg,1Story,6,6,1958,1988,183,1240,Y,1632,0,1632,1,2,0,3,1,TA,Min1,1,Attchd,1,TA,289,0,0,MnPrv,WD,Normal,139000
275,76,8314,Reg,1Story,5,7,1982,1982,0,816,Y,816,0,816,0,1,0,2,1,TA,Typ,0,Attchd,1,TA,168,0,0,NA,WD,Normal,124500
276,55,7264,Reg,1.5Fin,7,7,1925,2007,0,952,N,952,596,1548,0,2,1,3,1,Ex,Typ,0,Detchd,2,TA,74,0,0,NA,WD,Normal,205000
277,129,9196,IR1,1Story,7,5,2003,2003,0,1560,Y,1560,0,1560,0,2,0,3,1,Gd,Typ,0,Attchd,2,TA,100,150,0,NA,WD,Normal,201000
278,140,19138,Reg,1Story,4,5,1951,1951,0,864,Y,864,0,864,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,141000
279,107,14450,Reg,1Story,9,5,2006,2007,315,2121,Y,2121,0,2121,0,2,1,3,1,Ex,Typ,1,Attchd,3,TA,124,98,0,NA,New,Partial,415298
280,83,10005,Reg,2Story,7,5,1977,1977,299,1160,Y,1156,866,2022,0,2,1,4,1,TA,Typ,1,Attchd,2,TA,288,117,0,NA,WD,Normal,192000
281,82,11287,Reg,2Story,7,6,1989,1989,340,807,Y,1175,807,1982,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,84,0,NA,WD,Normal,228500
282,60,7200,Reg,1Story,6,5,2006,2006,68,1262,Y,1262,0,1262,0,2,0,2,1,Gd,Typ,0,Attchd,2,TA,0,120,0,NA,New,Partial,185000
283,34,5063,Reg,1Story,7,5,2007,2008,166,1314,Y,1314,0,1314,1,2,0,2,1,Gd,Typ,1,Attchd,2,TA,172,62,0,NA,ConLw,Normal,207500
284,74,9612,Reg,1Story,8,5,2008,2009,72,1468,Y,1468,0,1468,0,2,0,3,1,Gd,Typ,1,Attchd,3,TA,210,150,0,NA,New,Partial,244600
285,50,8012,Reg,1Story,6,5,1992,1992,0,1575,Y,1575,0,1575,1,2,0,2,1,Gd,Typ,0,Attchd,2,TA,0,0,0,NA,WD,Normal,179200
286,35,4251,IR1,2Story,7,5,2006,2007,0,625,Y,625,625,1250,0,2,1,2,1,Gd,Typ,0,Detchd,2,TA,0,54,0,NA,New,Partial,164700
287,77,9786,IR1,1.5Fin,6,7,1962,1981,0,912,Y,1085,649,1734,0,1,1,3,1,Gd,Typ,1,Attchd,2,TA,0,0,0,GdPrv,WD,Normal,159000
288,NA,8125,IR1,1Story,4,4,1971,1971,0,858,Y,858,0,858,0,1,0,3,1,TA,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,88000
289,NA,9819,IR1,1Story,5,5,1967,1967,31,882,Y,900,0,900,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,MnPrv,WD,Normal,122000
290,60,8730,Reg,2Story,6,7,1915,2003,0,698,Y,698,698,1396,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,153575
291,120,15611,Reg,2Story,8,5,2006,2006,0,1079,Y,1079,840,1919,0,2,1,3,1,Gd,Typ,1,Attchd,2,Gd,0,51,0,NA,New,Partial,233230
292,55,5687,Reg,2Story,5,6,1912,2000,0,780,N,936,780,1716,1,2,0,6,1,Fa,Typ,0,NA,0,NA,0,184,0,NA,WD,Normal,135900
293,60,11409,Reg,1.5Fin,5,4,1949,2008,0,768,Y,1148,568,1716,0,1,1,3,1,TA,Min2,1,Attchd,1,TA,0,0,0,NA,WD,Normal,131000
294,NA,16659,IR1,2Story,7,7,1977,1994,34,795,Y,1468,795,2263,1,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,250,0,NA,WD,Normal,235000
295,80,9600,Reg,1Story,6,5,1953,1953,238,1416,Y,1644,0,1644,1,1,0,3,1,TA,Typ,2,Attchd,2,TA,110,0,0,NA,WD,Normal,167000
296,37,7937,IR1,SLvl,6,6,1984,1984,0,1003,Y,1003,0,1003,1,1,0,3,1,TA,Typ,0,Detchd,2,TA,120,0,0,GdPrv,WD,Normal,142500
297,75,13710,Reg,1.5Fin,5,5,1950,1950,0,910,Y,910,648,1558,0,1,1,4,1,TA,Typ,0,Attchd,1,TA,289,0,0,MnPrv,WD,Normal,152000
298,66,7399,IR1,2Story,7,5,1997,1998,1600,975,Y,975,975,1950,0,2,1,3,1,Gd,Typ,1,Detchd,2,TA,0,10,0,NA,WD,Normal,239000
299,90,11700,Reg,2Story,6,6,1968,1968,365,702,Y,1041,702,1743,0,1,2,3,1,TA,Typ,1,Attchd,2,TA,224,0,0,NA,WD,Normal,175000
300,80,14000,Reg,1Story,6,8,1950,2004,0,1092,Y,1152,0,1152,0,1,0,3,1,Gd,Typ,1,Attchd,1,TA,0,36,0,GdPrv,WD,Family,158500
301,90,15750,Reg,1Story,5,5,1953,1953,56,1165,Y,1336,0,1336,1,1,0,2,1,TA,Typ,2,Attchd,1,TA,0,0,0,NA,WD,Normal,157000
302,66,16226,IR3,2Story,8,5,1998,1999,0,1028,Y,1210,1242,2452,0,2,1,4,1,Gd,Typ,1,BuiltIn,2,TA,208,50,0,NA,WD,Normal,267000
303,118,13704,IR1,1Story,7,5,2001,2002,150,1541,Y,1541,0,1541,0,2,0,3,1,Gd,Typ,1,Attchd,3,TA,468,81,0,NA,WD,Normal,205000
