Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,BsmtFinType2,BsmtFinSF2
362,50,RL,NA,9144,Reg,Inside,BrkSide,1.5Fin,5,5,1940,1982,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Rec,399,484,883,Gd,Unf,0
363,85,RL,64,7301,Reg,Corner,Edwards,SFoyer,7,5,2003,2003,Gable,HdBoard,HdBoard,BrkFace,500,Gd,Slab,NA,NA,NA,0,0,0,Ex,NA,0
364,160,RM,21,1680,Reg,Inside,BrDale,2Story,6,8,1972,2007,Gable,HdBoard,HdBoard,BrkFace,510,TA,CBlock,TA,No,ALQ,162,321,483,Gd,Unf,0
365,60,RL,NA,18800,IR1,FR2,NWAmes,2Story,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,120,TA,PConc,Gd,Mn,GLQ,712,84,796,TA,Unf,0
366,70,RM,59,10690,Reg,Inside,IDOTRR,2Story,5,7,1920,1997,Hip,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,Rec,456,216,672,Gd,Unf,0
367,20,RL,NA,9500,IR1,Inside,NAmes,1Story,6,5,1963,1963,Gable,Plywood,Plywood,BrkFace,247,TA,CBlock,Gd,No,BLQ,609,785,1394,Gd,Unf,0
368,80,RL,101,9150,IR1,Corner,NAmes,SLvl,6,5,1962,1962,Gable,Plywood,Plywood,BrkFace,305,TA,CBlock,Gd,Gd,GLQ,371,728,1099,Gd,Unf,0
369,20,RL,78,7800,Reg,Inside,NAmes,1Story,5,6,1954,1954,Gable,HdBoard,HdBoard,BrkFace,200,TA,PConc,TA,No,LwQ,540,728,1268,Gd,Unf,0
370,20,RL,NA,9830,IR1,Corner,NAmes,1Story,5,7,1959,2006,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,ALQ,72,733,1063,Ex,Rec,258
371,60,RL,NA,8121,IR1,Inside,Gilbert,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,953,953,Ex,Unf,0
372,50,RL,80,17120,Reg,Inside,ClearCr,1.5Fin,4,4,1959,1959,Gable,WdShing,Plywood,None,0,TA,CBlock,NA,NA,NA,0,0,0,TA,NA,0
373,120,RL,50,7175,Reg,Inside,SawyerW,1Story,6,5,1984,1984,Gable,Plywood,Plywood,None,0,TA,CBlock,Gd,No,ALQ,623,0,744,TA,LwQ,121
374,20,RL,79,10634,Reg,Inside,NAmes,1Story,5,6,1953,1953,Gable,MetalSd,MetalSd,None,0,TA,PConc,TA,No,BLQ,428,0,608,TA,LwQ,180
375,60,RL,65,8200,Reg,Inside,CollgCr,2Story,7,5,2003,2004,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,847,847,Ex,Unf,0
376,30,RL,NA,10020,IR1,Inside,Edwards,1Story,1,1,1922,1950,Gable,Wd Sdng,Wd Sdng,None,0,Fa,BrkTil,Fa,Gd,BLQ,350,333,683,Gd,Unf,0
377,85,RL,57,8846,IR1,CulDSac,CollgCr,SFoyer,5,5,1996,1996,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,GLQ,298,572,870,Ex,Unf,0
378,60,FV,102,11143,IR1,Corner,Somerst,2Story,8,5,2004,2005,Gable,CemntBd,CmentBd,None,0,Gd,PConc,Gd,No,Unf,0,1580,1580,Ex,Unf,0
379,20,RL,88,11394,Reg,Corner,StoneBr,1Story,9,2,2010,2010,Hip,VinylSd,VinylSd,Stone,350,Gd,PConc,Ex,Av,GLQ,1445,411,1856,Ex,Unf,0
380,60,RL,60,8123,IR1,Inside,Gilbert,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,16,TA,PConc,Gd,No,Unf,0,982,982,Ex,Unf,0
381,50,RL,50,5000,Reg,Inside,SWISU,1.5Fin,5,6,1924,1950,Gable,BrkFace,Wd Sdng,None,0,TA,BrkTil,TA,No,LwQ,218,808,1026,TA,Unf,0
382,20,FV,60,7200,Reg,Inside,Somerst,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,1293,1293,Ex,Unf,0
383,60,RL,79,9245,IR1,Inside,CollgCr,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,Unf,0,939,939,Ex,Unf,0
384,45,RH,60,9000,Reg,Corner,SawyerW,1.5Unf,6,3,1928,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,Fa,No,Unf,0,784,784,TA,Unf,0
385,60,RL,NA,53107,IR2,Corner,ClearCr,2Story,6,5,1992,1992,Gable,HdBoard,HdBoard,None,0,Gd,PConc,Gd,Av,GLQ,985,595,1580,Ex,Unf,0
386,120,RL,43,3182,Reg,Inside,Blmngtn,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16,Gd,PConc,Gd,No,GLQ,24,1232,1256,Ex,Unf,0
387,50,RL,58,8410,Reg,FR2,Edwards,1.5Fin,5,3,1910,1996,Gambrel,Wd Sdng,VinylSd,None,0,TA,PConc,TA,No,Unf,0,658,658,TA,Unf,0
388,80,RL,72,7200,Reg,Inside,Edwards,SLvl,6,6,1976,1976,Hip,MetalSd,MetalSd,BrkFace,255,TA,CBlock,TA,Av,ALQ,631,410,1041,Ex,Unf,0
389,20,RL,93,9382,IR1,CulDSac,CollgCr,1Story,7,5,1999,2000,Gable,VinylSd,VinylSd,BrkFace,125,Gd,PConc,Gd,No,Unf,0,1468,1468,Ex,Unf,0
390,60,RL,96,12474,Reg,Inside,NridgHt,2Story,10,5,2007,2008,Gable,VinylSd,VinylSd,Stone,272,Ex,PConc,Ex,Av,GLQ,1280,402,1682,Ex,Unf,0
391,50,RL,50,8405,Reg,Inside,Edwards,1.5Fin,5,8,1900,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Rec,241,229,861,Ex,BLQ,391
392,60,RL,71,12209,IR1,CulDSac,Mitchel,2Story,6,5,2001,2002,Gable,VinylSd,VinylSd,None,0,TA,PConc,Ex,No,ALQ,690,114,804,Ex,Unf,0
393,20,RL,NA,8339,IR1,Inside,NAmes,1Story,5,7,1959,1959,Gable,MetalSd,MetalSd,None,0,TA,Slab,NA,NA,NA,0,0,0,TA,NA,0
394,30,RL,NA,7446,Reg,Corner,BrkSide,1Story,4,5,1941,1950,Gable,WdShing,Wd Shng,None,0,TA,CBlock,TA,No,Rec,266,522,788,TA,Unf,0
395,50,RL,60,10134,Reg,Inside,OldTown,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Unf,0,735,735,Gd,Unf,0
396,20,RL,68,9571,Reg,Inside,Edwards,1Story,5,6,1956,1956,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,Av,BLQ,739,405,1144,TA,Unf,0
397,20,RL,60,7200,Reg,Inside,CollgCr,1Story,5,5,1972,1972,Hip,MetalSd,MetalSd,None,0,TA,CBlock,TA,Av,Rec,777,117,894,TA,Unf,0
398,60,RL,69,7590,Reg,Inside,NAmes,2Story,5,5,1962,1962,Gable,VinylSd,VinylSd,BrkFace,288,TA,CBlock,TA,No,ALQ,540,324,864,TA,Unf,0
399,30,RM,60,8967,Reg,Corner,IDOTRR,1Story,5,2,1920,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,Fa,No,Unf,0,961,961,Gd,Unf,0
400,60,FV,65,8125,Reg,Inside,Somerst,2Story,7,5,2006,2007,Gable,CemntBd,CmentBd,Stone,100,Gd,PConc,Gd,No,GLQ,812,280,1092,Ex,Unf,0
401,120,RL,38,14963,IR2,Inside,Veenker,1Story,8,5,1996,1996,Gable,BrkFace,BrkFace,None,0,Gd,PConc,Gd,No,GLQ,786,474,1260,Ex,Unf,0
402,20,RL,65,8767,IR1,Inside,CollgCr,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,GLQ,24,1286,1310,Ex,Unf,0
403,30,RL,60,10200,Reg,Inside,Sawyer,1Story,5,8,1940,1997,Gable,Wd Sdng,Wd Sdng,None,0,TA,PConc,TA,No,Unf,0,672,672,Ex,Unf,0
404,60,RL,93,12090,Reg,Corner,NoRidge,2Story,8,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,650,Gd,PConc,Gd,No,Unf,0,1141,1141,Gd,Unf,0
405,60,RL,NA,10364,IR1,Inside,Gilbert,2Story,6,5,1995,1996,Gable,MetalSd,MetalSd,None,0,TA,PConc,Gd,No,Unf,0,806,806,Gd,Unf,0
406,20,RL,NA,9991,IR1,Corner,Sawyer,1Story,4,4,1976,1993,Gable,Plywood,Plywood,None,0,TA,CBlock,TA,No,BLQ,1116,165,1281,Ex,Unf,0
407,50,RL,51,10480,Reg,Inside,SWISU,1.5Fin,6,5,1936,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,1064,1064,Ex,Unf,0
408,70,RL,63,15576,Reg,Inside,Crawfor,2Story,6,7,1915,1976,Gable,Wd Sdng,Plywood,None,0,TA,BrkTil,Gd,No,Unf,0,840,840,Ex,Unf,0
409,60,RL,109,14154,Reg,Corner,NridgHt,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,BrkFace,350,Gd,PConc,Ex,No,Unf,0,1063,1063,Ex,Unf,0
410,60,FV,85,10800,Reg,Inside,Somerst,2Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,100,Gd,PConc,Ex,No,GLQ,789,245,1034,Ex,Unf,0
411,20,RL,68,9571,Reg,Inside,Edwards,1Story,5,3,1958,1958,Gable,BrkComm,Brk Cmn,None,0,TA,CBlock,TA,No,Unf,0,1276,1276,TA,Unf,0
412,190,RL,100,34650,Reg,Inside,Gilbert,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,Mn,Rec,1056,0,1056,TA,Unf,0
413,20,FV,NA,4403,IR2,Inside,Somerst,1Story,7,5,2009,2009,Gable,MetalSd,MetalSd,Stone,432,Ex,PConc,Ex,Av,GLQ,578,892,1470,Ex,Unf,0
414,30,RM,56,8960,Reg,Inside,OldTown,1Story,5,6,1927,1950,Gable,WdShing,Wd Shng,None,0,TA,CBlock,TA,No,Unf,0,1008,1008,Gd,Unf,0
415,60,RL,59,11228,IR2,CulDSac,SawyerW,2Story,7,5,1993,1993,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,BLQ,50,499,1080,Ex,GLQ,531
416,20,RL,73,8899,IR1,Inside,Gilbert,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,GLQ,24,1316,1340,Ex,Unf,0
417,60,RL,74,7844,Reg,Inside,Sawyer,2Story,6,7,1978,1978,Hip,HdBoard,HdBoard,BrkFace,203,TA,CBlock,TA,No,ALQ,209,463,672,TA,Unf,0
418,70,RL,86,22420,IR1,Inside,Crawfor,2Story,6,6,1918,1950,Hip,Wd Sdng,Stucco,None,0,TA,BrkTil,Gd,No,BLQ,1128,242,1370,TA,Unf,0
419,50,RL,60,8160,Reg,Inside,Edwards,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,ALQ,312,444,756,Fa,Unf,0
420,20,RL,65,8450,Reg,Inside,NAmes,1Story,5,6,1968,1968,Gable,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,BLQ,775,281,1056,Ex,Unf,0
421,90,RM,78,7060,Reg,Inside,Mitchel,SFoyer,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,200,TA,PConc,Gd,Gd,GLQ,1309,35,1344,Ex,Unf,0
422,20,RL,NA,16635,IR1,FR2,NWAmes,1Story,6,7,1977,2000,Gable,CemntBd,CmentBd,Stone,126,Gd,CBlock,Gd,No,ALQ,1246,356,1602,Gd,Unf,0
423,20,RL,100,21750,Reg,Inside,Mitchel,1Story,5,5,1954,1954,Hip,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,Unf,0,988,988,Ex,Unf,0
424,60,RL,80,9200,Reg,Inside,NoRidge,2Story,8,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,473,Gd,PConc,Gd,No,GLQ,986,484,1470,Gd,Unf,0
425,20,RL,72,9000,Reg,Inside,NAmes,1Story,6,5,1956,1956,Gable,Wd Sdng,Wd Sdng,BrkFace,74,TA,CBlock,Gd,No,LwQ,616,580,1196,Gd,Unf,0
426,60,RM,60,3378,Reg,Inside,OldTown,2Story,7,8,1946,1992,Gable,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,Unf,0,651,651,Gd,Unf,0
427,80,RL,NA,12800,Reg,Inside,SawyerW,SLvl,7,5,1989,1989,Gable,Wd Sdng,Wd Sdng,BrkFace,145,Gd,PConc,Gd,Gd,GLQ,1518,0,1518,Gd,Unf,0
428,20,RL,77,8593,IR1,Inside,NAmes,1Story,4,6,1957,1957,Hip,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Rec,288,619,907,Ex,Unf,0
429,20,RL,64,6762,Reg,Inside,CollgCr,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,BrkFace,108,Gd,PConc,Gd,No,GLQ,664,544,1208,Ex,Unf,0
430,20,RL,130,11457,IR1,Corner,Timber,1Story,6,5,1988,1988,Gable,HdBoard,HdBoard,None,0,TA,CBlock,Gd,Mn,GLQ,1005,387,1392,TA,Unf,0
431,160,RM,21,1680,Reg,Inside,BrDale,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232,TA,CBlock,TA,No,ALQ,387,96,483,TA,Unf,0
432,50,RM,60,5586,IR1,Inside,OldTown,1.5Fin,6,7,1920,1998,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,901,901,Gd,Unf,0
433,160,RM,24,1920,Reg,Inside,BrDale,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,376,TA,CBlock,TA,No,ALQ,471,294,765,Ex,Unf,0
434,60,RL,100,10839,IR1,Corner,Gilbert,2Story,6,5,1997,1998,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,926,926,Ex,Unf,0
435,180,RM,21,1890,Reg,Inside,MeadowV,SFoyer,4,7,1972,1972,Gable,CemntBd,CmentBd,None,0,TA,CBlock,Gd,Av,ALQ,495,135,630,Gd,Unf,0
436,60,RL,43,10667,IR2,CulDSac,CollgCr,2Story,7,6,1996,1996,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,GLQ,385,70,799,Ex,ALQ,344
437,50,RM,40,4400,Reg,Inside,OldTown,1.5Fin,6,8,1920,1950,Gable,Stucco,Stucco,None,0,TA,BrkTil,Fa,No,Unf,0,648,648,TA,Unf,0
438,45,RM,50,6000,Reg,Inside,BrkSide,1.5Unf,6,7,1926,2004,Gable,Wd Sdng,Wd Sdng,None,0,Gd,PConc,TA,No,Unf,0,884,884,Gd,Unf,0
439,30,RL,40,4280,Reg,Inside,Crawfor,1Story,5,6,1913,2002,Gable,WdShing,Stucco,None,0,TA,PConc,TA,No,LwQ,365,75,440,TA,Unf,0
440,50,RL,67,12354,Reg,Corner,Edwards,1.5Fin,6,8,1920,2000,Gable,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,TA,Mn,Unf,0,684,684,Gd,Unf,0
441,20,RL,105,15431,Reg,Inside,NridgHt,1Story,10,5,2008,2008,Hip,VinylSd,VinylSd,Stone,200,Ex,PConc,Ex,Gd,GLQ,1767,788,3094,Ex,ALQ,539
442,90,RL,92,12108,Reg,Inside,Edwards,1Story,4,4,1955,1955,Gable,VinylSd,VinylSd,BrkFace,270,TA,CBlock,TA,No,ALQ,133,1307,1440,TA,Unf,0
443,50,RM,52,6240,Reg,Inside,BrkSide,1.5Fin,5,7,1930,1992,Gable,MetalSd,MetalSd,None,0,TA,PConc,TA,No,Unf,0,1078,1078,TA,Unf,0
444,120,RL,53,3922,Reg,Inside,Blmngtn,1Story,7,5,2006,2007,Gable,WdShing,Wd Shng,BrkFace,72,Gd,PConc,Ex,Av,Unf,0,1258,1258,Ex,Unf,0
445,60,RL,70,8750,Reg,Inside,CollgCr,2Story,7,5,1994,1995,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,GLQ,642,273,915,Ex,Unf,0
446,20,RL,73,9855,Reg,Corner,Edwards,1Story,6,5,1956,1956,Hip,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,Unf,0,1436,1436,Fa,Unf,0
447,20,RL,137,16492,IR1,Corner,NAmes,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0,Gd,CBlock,TA,No,ALQ,247,557,1517,Ex,Rec,713
448,60,RL,NA,11214,IR1,Corner,Gilbert,2Story,7,5,1998,1999,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,930,930,Gd,Unf,0
449,50,RM,50,8600,Reg,Inside,IDOTRR,1.5Fin,6,6,1937,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,780,780,TA,Unf,0
450,50,RM,50,6000,Reg,Inside,OldTown,1.5Fin,3,7,1948,2002,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,ALQ,331,318,649,Ex,Unf,0
451,30,RM,70,5684,Reg,Inside,OldTown,1Story,6,8,1930,2005,Hip,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,TA,No,Unf,0,813,813,Ex,Unf,0
452,20,RL,62,70761,IR1,Inside,ClearCr,1Story,7,5,1975,1975,Gable,Plywood,Plywood,None,0,TA,CBlock,Gd,Gd,ALQ,655,878,1533,TA,Unf,0
453,60,RL,NA,9303,IR1,Corner,Timber,2Story,6,5,1996,1997,Hip,VinylSd,VinylSd,BrkFace,42,Gd,PConc,Ex,No,ALQ,742,130,872,Ex,Unf,0
454,60,FV,75,9000,Reg,Inside,Somerst,2Story,8,5,2008,2008,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,768,768,Ex,Unf,0
455,90,RL,63,9297,Reg,Inside,Mitchel,1Story,5,5,1976,1976,Gable,Plywood,Plywood,None,0,TA,CBlock,TA,No,ALQ,1606,122,1728,TA,Unf,0
456,20,RL,80,9600,Reg,Inside,NWAmes,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320,TA,CBlock,TA,No,ALQ,916,326,1242,Fa,Unf,0
457,70,RM,34,4571,Reg,Inside,OldTown,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0,TA,BrkTil,TA,No,Unf,0,624,624,Fa,Unf,0
458,20,RL,NA,53227,IR1,CulDSac,ClearCr,1Story,4,6,1954,1994,Flat,Plywood,Plywood,None,0,TA,CBlock,Gd,Gd,BLQ,1116,248,1364,Ex,Unf,0
459,70,RM,NA,5100,Reg,Inside,OldTown,2Story,8,7,1925,1996,Hip,Stucco,Wd Shng,None,0,TA,PConc,TA,No,Unf,0,588,588,Fa,Unf,0
460,50,RL,NA,7015,IR1,Corner,BrkSide,1.5Fin,5,4,1950,1950,Gable,MetalSd,MetalSd,BrkCmn,161,TA,CBlock,TA,No,LwQ,185,524,709,TA,Unf,0
461,60,FV,75,8004,IR1,Inside,Somerst,2Story,8,5,2009,2009,Gable,VinylSd,VinylSd,Stone,110,Gd,PConc,Gd,No,GLQ,544,288,832,Ex,Unf,0
462,70,RL,60,7200,Reg,Inside,SWISU,2Story,7,9,1936,2007,Gable,Wd Sdng,Wd Sdng,None,0,Gd,PConc,Gd,No,ALQ,350,0,560,Ex,BLQ,210
463,20,RL,60,8281,IR1,Inside,Sawyer,1Story,5,5,1965,1965,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Rec,553,0,864,Gd,BLQ,311
464,70,RL,74,11988,IR1,Inside,Crawfor,2Story,6,7,1934,1995,Hip,Stucco,Stucco,None,0,TA,CBlock,TA,No,LwQ,326,389,715,Fa,Unf,0
465,20,RL,60,8430,Reg,Inside,CollgCr,1Story,5,5,1978,1978,Gable,HdBoard,HdBoard,BrkFace,136,TA,CBlock,Gd,No,Rec,616,424,1040,TA,Unf,0
466,120,RM,NA,3072,Reg,Inside,Blmngtn,1Story,7,5,2004,2004,Hip,VinylSd,VinylSd,BrkFace,18,Gd,PConc,Gd,No,Unf,0,1375,1375,Ex,Unf,0
467,20,RL,85,10628,Reg,Inside,NAmes,1Story,7,5,1970,1970,Flat,Plywood,Plywood,None,0,TA,CBlock,TA,Gd,GLQ,778,499,1277,TA,Unf,0
468,70,RL,79,9480,Reg,Inside,NAmes,2Story,5,7,1942,1995,Gable,MetalSd,MetalSd,Stone,224,TA,CBlock,TA,No,LwQ,386,342,728,Ex,Unf,0
469,20,RL,98,11428,IR1,Inside,NridgHt,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,248,Gd,PConc,Gd,No,Unf,0,1626,1626,Ex,Unf,0
470,60,RL,76,9291,IR1,Corner,SawyerW,2Story,6,5,1993,1993,Gable,HdBoard,HdBoard,BrkFace,120,Gd,PConc,Gd,No,GLQ,426,406,832,Ex,Unf,0
471,120,RL,NA,6820,IR1,Corner,StoneBr,1Story,8,5,1985,1985,Gable,HdBoard,HdBoard,None,0,Gd,PConc,Gd,Av,GLQ,368,0,1488,TA,BLQ,1120
472,60,RL,92,11952,Reg,Inside,NWAmes,2Story,7,6,1977,1977,Mansard,WdShing,Plywood,None,0,TA,CBlock,Gd,No,Unf,0,808,808,TA,Unf,0
473,180,RM,35,3675,Reg,Inside,Edwards,SLvl,6,5,2005,2005,Gable,VinylSd,VinylSd,BrkFace,80,TA,PConc,Gd,Gd,GLQ,459,88,547,Ex,Unf,0
474,20,RL,110,14977,IR1,Inside,NridgHt,1Story,8,5,2006,2007,Gable,VinylSd,VinylSd,BrkFace,304,Gd,PConc,Ex,Gd,GLQ,1350,626,1976,Ex,Unf,0
475,120,RL,41,5330,Reg,Inside,StoneBr,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0,Gd,PConc,Gd,Av,GLQ,1196,298,1494,Ex,Unf,0
476,20,RL,80,8480,Reg,Corner,Sawyer,1Story,5,6,1963,1963,Hip,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,GLQ,630,340,970,TA,Unf,0
477,20,RL,75,13125,Reg,Inside,CollgCr,1Story,6,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,215,TA,PConc,Gd,Gd,GLQ,994,484,1478,Ex,Unf,0
478,60,RL,105,13693,Reg,Inside,NridgHt,2Story,9,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,772,Ex,PConc,Gd,Av,Unf,0,2153,2153,Ex,Unf,0
479,20,RL,79,10637,Reg,Inside,CollgCr,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336,Gd,PConc,Ex,Gd,GLQ,1288,417,1705,Ex,Unf,0
480,30,RM,50,5925,Reg,Inside,OldTown,1Story,4,7,1937,2000,Hip,Stucco,Stucco,BrkCmn,435,TA,BrkTil,Fa,No,Rec,168,739,907,TA,Unf,0
481,20,RL,98,16033,IR1,FR2,NridgHt,1Story,9,5,2004,2005,Hip,VinylSd,VinylSd,BrkFace,378,Gd,PConc,Ex,Gd,GLQ,1261,572,1833,Ex,Unf,0
482,20,RL,72,11846,IR1,Inside,NridgHt,1Story,9,5,2003,2004,Hip,VinylSd,VinylSd,BrkFace,562,Gd,PConc,Ex,Gd,GLQ,1567,225,1792,Ex,Unf,0
483,70,RM,50,2500,Reg,Corner,OldTown,2Story,7,8,1915,2005,Gable,Stucco,Stucco,None,0,Gd,PConc,TA,No,ALQ,299,611,910,Ex,Unf,0
484,120,RM,32,4500,Reg,FR2,Mitchel,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,116,TA,PConc,Ex,No,GLQ,897,319,1216,Ex,Unf,0
485,20,RL,NA,7758,IR1,Corner,Sawyer,1Story,5,7,1962,2001,Gable,HdBoard,Plywood,None,0,TA,CBlock,TA,No,ALQ,588,411,999,Gd,Unf,0
486,20,RL,80,9600,Reg,Inside,NAmes,1Story,5,7,1950,2007,Gable,MetalSd,MetalSd,None,0,Gd,CBlock,TA,No,ALQ,607,506,1113,Gd,Unf,0
487,20,RL,79,10289,Reg,Inside,NAmes,1Story,5,7,1965,1965,Hip,MetalSd,MetalSd,BrkFace,168,TA,CBlock,TA,No,ALQ,836,237,1073,TA,Unf,0
488,20,RL,70,12243,IR1,Inside,NWAmes,1Story,5,6,1971,1971,Gable,Plywood,Plywood,None,0,TA,CBlock,Gd,Av,ALQ,998,486,1484,Gd,Unf,0
489,190,RL,60,10800,Reg,Corner,OldTown,1.5Fin,5,4,1900,1970,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,BLQ,664,290,954,TA,Unf,0
490,180,RM,21,1526,Reg,Inside,MeadowV,SFoyer,4,8,1970,2002,Gable,CemntBd,CmentBd,None,0,TA,CBlock,Gd,Av,GLQ,515,115,630,TA,Unf,0
491,160,RM,NA,2665,Reg,Inside,MeadowV,2Story,5,6,1976,1976,Gable,CemntBd,CmentBd,None,0,TA,PConc,Gd,Mn,Unf,0,264,264,TA,Unf,0
492,50,RL,79,9490,Reg,Inside,NAmes,1.5Fin,6,7,1941,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,BLQ,403,238,806,TA,Rec,165
493,60,RL,105,15578,IR1,Corner,Gilbert,2Story,6,5,2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,728,728,Gd,Unf,0
494,20,RL,70,7931,Reg,Inside,NAmes,1Story,5,6,1960,1960,Gable,BrkFace,Wd Sdng,None,0,TA,CBlock,TA,No,BLQ,374,363,1269,TA,LwQ,532
495,30,RM,50,5784,Reg,Inside,OldTown,1Story,5,8,1938,1996,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,Fa,No,Unf,0,190,190,Gd,Unf,0
496,30,C (all),60,7879,Reg,Inside,IDOTRR,1Story,4,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,Rec,495,225,720,TA,Unf,0
497,20,RL,NA,12692,IR1,Inside,NoRidge,1Story,8,5,1992,1993,Hip,BrkFace,BrkFace,None,0,Gd,PConc,Gd,No,GLQ,1231,1969,3200,Ex,Unf,0
498,50,RL,60,9120,Reg,Inside,BrkSide,1.5Fin,7,6,1925,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,PConc,TA,No,Rec,329,697,1026,Ex,Unf,0
499,20,RL,65,7800,Reg,Inside,Sawyer,1Story,5,7,1967,2004,Hip,HdBoard,HdBoard,BrkFace,89,TA,PConc,TA,No,ALQ,450,414,864,Ex,Unf,0
500,20,RL,70,7535,IR1,Inside,NAmes,1Story,5,7,1958,1985,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,BLQ,111,522,912,Fa,LwQ,279
501,160,RM,21,1890,Reg,Inside,BrDale,2Story,6,5,1973,1973,Gable,HdBoard,HdBoard,BrkFace,285,TA,CBlock,TA,No,BLQ,356,316,672,TA,Unf,0
502,60,FV,75,9803,Reg,Inside,Somerst,2Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,GLQ,400,466,866,Gd,Unf,0
503,20,RL,70,9170,Reg,Corner,Edwards,1Story,5,7,1965,1965,Hip,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,ALQ,698,420,1214,Ex,GLQ,96
